日期,标题,分类,类型,金额,货币,备注,标签
2025-11-06 11:34:16,本月工资,工资,income,8000.0,CNY,公司发薪,
2025-11-06 11:34:16,购物,购物,expense,199.0,CNY,买了一件衣服,
2025-11-06 11:34:16,交通费,交通,expense,12.0,CNY,地铁卡充值,
2025-11-06 11:34:16,晚餐,餐饮,expense,42.8,CNY,和朋友聚餐,
2025-11-06 11:34:16,午餐,餐饮,expense,35.0,CNY,公司食堂,
2025-11-06 11:34:16,早餐,餐饮,expense,15.5,CNY,包子+豆浆,
2025-11-05 21:58:05,本月工资,工资,income,8000.0,CNY,公司发薪,
2025-11-05 21:58:05,购物,购物,expense,199.0,CNY,买了一件衣服,
2025-11-05 21:58:05,交通费,交通,expense,12.0,CNY,地铁卡充值,
2025-11-05 21:58:05,早餐,餐饮,expense,15.5,CNY,包子+豆浆,
2025-11-05 21:58:05,午餐,餐饮,expense,35.0,CNY,公司食堂,
2025-11-05 21:58:05,晚餐,餐饮,expense,42.8,CNY,和朋友聚餐,
